track_title,track_speaker,track_duration,comment_timestamp,comment_url,comment_commenter_username,comment_keyword
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,87052,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=1m27s,OpenEdmonton,Awesome
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,87052,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=1m27s,OpenEdmonton,report card
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,87052,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=1m27s,OpenEdmonton,school
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,87052,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=1m27s,OpenEdmonton,107 avenue
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,74495,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=1m14s,OpenEdmonton,17 Avenue
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,66944,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=1m6s,OpenEdmonton,107
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,63095,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=1m3s,OpenEdmonton,McDougal School
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,38576,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=0m38s,OpenEdmonton,quarantine
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,38576,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=0m38s,OpenEdmonton,whooping cough
"Justin - 2015 - 03 - 18, 7.43 PM",Justin,217070,165879,http://soundcloud.com/openedmonton/justin-2015-03-18-743-pm#t=2m45s,OpenEdmonton,civic tech
"Justin - 2015 - 03 - 18, 7.43 PM",Justin,217070,52314,http://soundcloud.com/openedmonton/justin-2015-03-18-743-pm#t=0m52s,OpenEdmonton,ets
"Justin - 2015 - 03 - 18, 7.43 PM",Justin,217070,28958,http://soundcloud.com/openedmonton/justin-2015-03-18-743-pm#t=0m28s,OpenEdmonton,ap
"Justin - 2015 - 03 - 18, 7.43 PM",Justin,217070,28958,http://soundcloud.com/openedmonton/justin-2015-03-18-743-pm#t=0m28s,OpenEdmonton,bus bird
"Alex March 11 - 2015 - 03 - 11, 5.28 PM",Alex,621328,223660,http://soundcloud.com/openedmonton/alex-march-11-2015-03-11-528-pm#t=3m43s,fahim hassan,Alex
"Alex March 11 - 2015 - 03 - 11, 5.28 PM",Alex,621328,223660,http://soundcloud.com/openedmonton/alex-march-11-2015-03-11-528-pm#t=3m43s,fahim hassan,women in tech
"Alex March 11 - 2015 - 03 - 11, 5.28 PM",Alex,621328,77956,http://soundcloud.com/openedmonton/alex-march-11-2015-03-11-528-pm#t=1m17s,fahim hassan,Alex
